Date of Review,User,Usefulness Vote,Total Votes,User's Rating out of 10,Review Title,Review
20 July 2008,Smells_Like_Cheese,896,1090,10,The Batman of our dreams! So much more than a comic book movie,"I got to see The Dark Knight on Wednesday night, the reason though why I'm writing this movie comment this late is because I didn't wanna just jump and say this movie was awesome, I wanted to think it through, still today, I can't stop thinking about this movie! The Dark Knight lives up to it's hype and goes beyond it, this is the Batman movie that goes where no other Batman movie has gone before. It gave us a real sold story, we are finally told why the villains are the way they are, how all the injustice in the world can get underneath Batman's skin, how you have to believe that people still have faith in good on Earth. Heath Ledger, I absolutely loved Jack Nicolson's performance in the 1989 film, when I first read that Heath was signed onto The Dark Knight, I was like ""What are they, kidding?"", once you see The Dark Knight... Heath was incredible! I'm not going to compare Jack and Heath's performance, because they were two different versions of the Joker, but Heath's Joker was definitely the more scary and intense of the two nominations. You didn't know what he was going to do next, he was so crazy, he was also so charismatic to the point where you could relate to his character, and the worst part is not only that he's crazy, he's driving Gotham crazy and treating everyone like little puppets on strings that he can control, and guess what, he is doing it so well with a smile on his face. This was so much more than a Batman film, this was so much more than a comic book film, The Dark Knight truly delivers with drama, action, romance, horror, dark humor, the study of a psychopathic killer, a detective story. The force behind this epic movie is Christopher Nolan, who's previous film, Batman Begins, didn't really thrill me, but his incredible film making is truly shown in The Dark Knight, the shots that he got of Gotham City were absolutely fantastic and made you feel part of the city, part of the Batman story. One of the things that I absolutely loved about The Dark Knight is that normally with a comic book movie, you know it's not real, people don't dress up in costumes, and save the day, villains don't name themselves crazy names and dress in make up or crazy costumes, but The Dark Knight actually makes it seem incredibly real, like it could happen.Bruce Wayne is still learning how to be in his double life of Batman and himself, he has lost Rachel to the new district attorney, Harvey Dent, he's inspiring others who are dressing up as Batman and are trying to take on the villains of the city themselves. But things are much worse when the Joker waltzes into town, and he's going to bring Hell upon Gotham City. Constantly playing with Gotham's mind and trying to get Batman to reveal himself, Batman has never dealt with such a psychopathic genius before. The Joker has named himself as the ""Classy Villain that Gotham needs"", he also has brought a new thought into Batman's head of them actually being more alike than different, that Batman completes him, the Joker would be nothing without him. But Batman is relying on Harvey Dent, who is Gotham's ""White Knight"" trying to put all of Gotham's scum in jail. But when the Joker plays Batman and Commissioner Gordon, Harvey and Rachel find themselves in very horrific position and Harvey must discover if he will die a hero or live long enough to become a villain.All the performances are dead on in this movie, now everyone's going crazy over Heath Ledger's performance, but one performance I would also love to credit is Aaron Eckhart who plays Harvey Dent/Two Face, his performance was just as great as Heath's and made Two Face a human villain. You could understand his hatred and vengeance on what happened to him and why he became Two Face. I know that everyone is saying this but I truly mean when I say this is one of the best movies I have seen in a very long time. We had some great movies these past few years, but I think The Dark Knight is seriously something special, but I don't wanna build it up too much since some people go to the theater expecting my words to be the same as your own. In my opinion though this is not a great movie, I can't come up with a word describe how incredibly powerful this movie was, to be honest I would go above a 10 rating if I could; this is the Batman film that we have been waiting for. I've seen it twice in one weekend, I'm going to see it three times this upcoming week, I don't mind one bit. I can't wait for the sequel and I would just like to say RIP to Heath, wish he could have seen his breath taking performance as The Joker.10/10"
22 November 2021,melwinbauer,20,21,10,Best superhero movie of all time,"I think that I could wax lyrical but this movie all day. It is absolutely incredible from start to finish.This is the Batman trilogy's second outing. It's filled with hard-hitting action and almost every scene is absolutely enthralling to watch. The story is really good. The twists and turns keep the viewer constantly on their toes, especially in the third act of the movie. There are so many memorable scenes packed throughout this movie, so many quotes and ideas sprinkled throughout that you probably could analyze it for hours.Because while the action and story is incredible, it is the dynamic between the Batman and the Joker that really makes this movie what it is. It is all in the contrast between the two. Right against wrong. Chaos and anarchy versus order. The Joker is the perfect villain for Batman. Batman is literally, as said in the movie, a symbol. The very essence of the idea of the Batman is centered around order, rules and moral codes. He is the embodyment of what is right. The Joker challenges the very core and foundation of who Batman is and what he stands for. He is someone who doesn't follow any rules. He is pure chaos and anarchy personified. As he so perfectly states in the third act of the movie, while hanging upside down off of a building: ""this is what happens when an unstoppable force meets an immovable object"". The Joker wants the Batman to go against his morals and to break his rules. The powerful thing is also that you can see why the Joker does what he does. In some ways he has a point and that also adds another layer to the character and to the dynamic between the two. It is truly an amazing battle. The brilliant acting from Heath Ledger is a major part of it too. He is absolutely incredible as the Joker. Rest in peace.I could probably go on further about how great I think this movie is but I'll just say this. Just watch the movie. You should watch the first movie of the trilogy first but if that is something you absolutely don't wan't to do I still think you should see this movie. It is just great."
16 July 2008,LoneWolfAndCub,703,1040,10,The Dark Knight is as good as everyone says and easily the best superhero film made,"I think the big question...or the question everyone actually cares about is this: Is Christopher Nolan's follow up to the critically acclaimed 2005 film ""Batman Begins,"" The Dark Knight, as good as everyone is saying? Quite simply, yes, yes it is. There is no doubt about it, one of the most anticipated movies of the 21st century duly deserves every amount of praise lavished onto it. This is no ordinary superhero movie, this is a character and dialogue driven piece, not as action orientated as you might expect.I will not go into plot details, because there is a lot of it. However, a basic one sentence summary is: Batman now has to face his most cunning and psychotic enemy, someone with no real motives...The Joker. Now that that is out of the way, I will start off with the actors (and boy, is there a lot to talk about). Christian Bale has done a tremendous job as our beloved Caped Crusader, with him already blowing everyone else out of water with ""Batman Begins."" Bruce Wayne has a flawed personality that hangs on the balance between righteousness and criminal. His perception of justice causes an emotional and personal shift, whether he is a wealthy businessman who fights crime in a gadget-riddled suit or just a normal man who is sick of all the scum in Gotham City and decides to give the law-breakers a dose of their own medicine. Because of this, and Bale's tremendous acting, Bruce Wayne is justified, and we emphasise with Bale's flawed hero more than any of the other actors. If there ever was an excellent Batman, this is it. The theme of right and wrong is played well with his character here.Of course, I am sure you all want know if Heath Ledger was that good. And I can safely say that he most definitely was. Ledger's Joker is not only the best, but is now the greatest superhero film villain ever. His performance is truly terrifying, chilling, brilliant; any synonyms of the previous adjectives. Every scene he is in is stolen. The Joker truly is Batman's worst villain; cunning and psychotic, nothing quite matches his laugh and sinister makeup. If Ledger nabs the Oscar for Best Actor, I honestly will not be surprised. It is a true tragedy to see such a talented actor fall at such a young age...All the other actors cannot be forgotten, though. Aaron Eckhart has definitely proved himself previously (""Thankyou for Smoking"") as someone to watch out for. Here, as Harvey Dent (and later Two Face) he is very powerful. All he wants is justice; to bring down every single criminal. Eckhart is the definitive Two Face. Maggie Gyllenhaal as Wayne and Dent's love interest, Rachel Dawes is much better than Katie Holmes. Gyllenhaal's performance has substance, I really cared for her and her future and she was terrific in every scene. Michael Caine can do no wrong, and as Alfred Pennyworth he provides some comical and emotional scenes. Morgan Freeman as Lucius Fox, although a limited role, does inject some sly humour and much needed morals into the story. Finally, Gary Oldman's Lt. James Gordon is riveting. He at least needs a Best Supporting Actor nomination for his performance as another crime-fighting hero who faces some challenging situations.Wally Pfister's cinematography is simply stunning. Gotham has never looked so good, so big and deep. His wide shots purvey a dirty aura and contribute to the feel of the film. Without it, it may not have been the same. Another Oscar worthy portion, THE MUSIC! With Hans Zimmer AND James Newton Howard at the helm, how could it go wrong? The score sets the mood in every scene, giving an epic and thrilling tone. During the action sequences it really ups the adrenaline. And on the topic of action, The Dark Knight succeeds in having the best fight sequences and car chases in a comic book adaptation yet. With no obvious or over-use of CGI, the explosions and accidents are the real deal. Thrilling, edge of your seat and violent, this is brutally awesome stuff.Nevertheless, none of this would be possible without Christopher Nolan, the man behind it all. Pairing up with the writer (and brother) Jonathon Nolan, the darkest Batman movie yet is the best, and the best so far this year. This does not feel like a comic book film, the dialogue and situations feel so realistic. And, it IS the script that drives this film. The dialogue is very, very well written and is the centre of the conflict and the movie.It may be bold to say this, but this is the best superhero film of all time. There are others that are magnificent (""Superman"" and ""X-Men"" are two examples) but this is the most complex, the most dark and the most spectacular and epic of them all. See it for Bale, for Ledger, for the music, the action and for Nolan's flawless direction.5/5 and the best film of 2008 so far!!"
17 July 2008,the-movie-guy,812,1278,10,The dark and sinister mood of the film really sets the theme of the movie,"(Synopsis) Bruce Wayne/Batman (Christian Bale) continues to eliminate crime in Gotham City with the help of Lt. Jim Gordon (Gary Oldman) and the new District Attorney, Harvey Dent (Aaron Eckhart). The Dark Knight wants to finally get rid of organized crime for good and be free of their corruption. Batman soon finds that a new psychopathic mastermind known as the Joker (Heath Ledger) has taken over organized crime. The Joker's plan is to terrify the citizens and throw the city into chaos, and kill Batman. Batman takes the fight with the Joker personal, which makes him confront his own beliefs. The Joker is the most dangerous criminal that Batman has encountered, and he will need all his strength and vigilance to defeat him.(My Comment) This film just blew me away. Christian Bale is a natural as Bruce Wayne/Batman, and Michael Caine fits the part of Alfred, the trusted butler. Heath Ledger's performance as the sadistic Joker was absolutely disturbing and scary yet simply amazing. I would not want to meet the Joker in a dark alley, and whatever you do, don't ask him how he got his smile, especially, when he has a knife in his hand. Ledger's performance has turned the Joker into a new iconic movie villain image. Between all the punches, mayhem, and explosions, there is some good sinister dialog. The movie not only has a lot of action, it also tells the story of the internal struggle that Bruce Wayne is having with being the Batman hero. Bruce Wayne wants to be himself and maintain the difference between himself and Batman. Bruce must decide to follow the code or do what has to be done without affecting his own morals. The movie explores the literary themes of Hero verses Villain, as well as Order verses Anarchy, and the Joker explains to Batman that to have one you must have the other, and because of that, they will always be connected. The movie is long, but it went by so fast. You will love the last 45 minutes, because of the non-stop action with Batman in his new sonic suit and his BatPod. With all the explosions, body count, and the dark mood of the movie, I don't think parents should take young children. (Warner Bros. Pictures, Run Time 2:32, Rated PG-13)(10/10)"
14 July 2008,springsunnywinter,1008,1596,10,Batman at his best and beyond,"Batman has always been my favourite superhero ever since the first time I heard about him because he his human with no powers, also he is much more questionable than any other superhero. The story of the film is about Batman, Lieutenant James Gordon, and new district attorney Harvey Dent beginning to succeed in rounding up the criminals that plague Gotham City. They are unexpectedly challenged when a mysterious criminal mastermind known as the Joker appears in Gotham. Batman's struggle against the Joker becomes deeply personal, forcing him to ""confront everything he believes"" and to improve his technology (which introduces the recreation of the Batcycle, known as the Batpod and the Batsuit was redesigned) to stop the madman's campaign of destruction. During the course of the film, a love triangle develops between Bruce Wayne, Dent and Rachel Dawes.There are now six Batman films and I must say that The Dark Knight is the best out of all of them. The title is good because that is what Batman actually is. It has been 3 years for the adventure to continue from Batman Begins but that entire wait was worth it. Gotham city is very Gothic looking and is very haunting and visionary. The whole movie is charged with pulse-pounding suspense, ingenious special effects and riveting performances from a first-rate cast especially from Heath Ledger who gave an Oscar nomination performance for best supporting-actor. It is a shame that he can't see his terrific work on-screen. The cinematography is excellent which is made so dark & sinister that really did suit the mood for the film. Usually sequels don't turn out to be better than the original but The Dark Knight is one of those rare sequels that surpasses the original like The Godfather 2. I also really liked the poster where the building is on fire in a Bat symbol & Batman is standing in front of it. Christopher Nolan is a brilliant director and his film Memento is one of my most favourite films. He hasn't made 10 movies yet and 3 of them are already on the IMDb top 250. Overall The Dark Knight is the kind of movie that will make the audience cheer in the end instead of throwing fruit & vegetables on the screen."
21 July 2008,classicsoncall,41,58,10,"""I think you and I are destined to do this forever.""","So it finally happened, a DC Comics movie adaptation that out-marveled the Marvel folks, and to such a degree that it might be quite a while before anything comes close to topping ""The Dark Knight"". This was the severely grim and gritty version of the Batman, ushered in by Frank Miller's initial treatment in the landmark graphic novel ""The Dark Knight Returns"" in 1986. Miller's portrayal of the iconic super hero took the gloves off as far as politically correct behavior goes. The movie explores this theme at many levels, and would have served up enough of a plot to keep this viewer interested even without the explosions, chases and general mayhem that modern day audiences need to get their fix on. Actually, the Joker summed it all up quite brilliantly hanging upside down from one of Batman's cables over the streets of Gotham, as noted in my summary line above. In the comic book world, they HAVE been fighting each other forever, or as long as forever exists since the creation of Batman back in 1939; the Joker came on the scene in 1940 in the comic, Batman #1.I don't think this could have been the same picture without Heath Ledger in the role of Batman's all time greatest nemesis. His portrayal blows away Jack Nicholson's performance in 1989's ""Batman"", and that's through no fault of Nicholson's. Today's films are a product of harsher and deadlier times, and it's striking that Ledger's characterization would define the Joker as an extremist, perhaps even a terrorist. More than once I found myself questioning what was going on during the opening bank robbery scene. The bad guys were offing each other based on instructions delivered by the Joker, and you suddenly come to the realization that this domino game had to end with one man standing. It's how we're introduced to Ledger's definitive Joker, a performance that won't be topped.Another thought came to me as I watched the story unfold, and that was how similar the coin toss gimmick paralleled the one in ""No Country For Old Men"". Harvey Dent (Aaron Eckhart) began using the tactic following the death of Rachel Dawes (Maggie Gyllenhaal), and I began picturing Javier Bardem in the role of The Joker. Hard to imagine who might have been the more evil character, Bardem's Anton Chigurh in a more realistic setting, or The Joker in a fictional Gotham City. Fortunately, not a choice one would normally have to consider.I'm a little bit on the fence as to Christian Bale's portrayal of The Batman. He's more than adequate as Bruce Wayne, but the voice he gives to the Dark Knight seems a bit melodramatic. Granted, he couldn't use the same voice as his alter ego, but there were times that it sounded so forced as to come across as parody, and other times just goofy, almost a throwback to the Adam West days of the TV Batman. Strange, but have you considered that no one ever calls him the Caped Crusader anymore either?All in all, great performances all around. Gary Oldman's portrayal of the new Commissioner Gordon was excellent, while Michael Caine as Alfred, and Morgan Freeman as Lucius Fox were solid even with limited screen time. I thought about Katie Holmes just once while making a mental comparison when Maggie Gyllenhaal first appeared on screen. Truthfully, they looked similar enough to effect the transition smoothly to the point where it wasn't distracting for me in the least.Obviously, the set up for the next sequel was firmly set in place with the creation of Two Face, the now alter ego of District Attorney Harvey Dent. The rendering of Dent's burned face was boldly executed and quite marvelous in it's own grotesque way. I'll be looking forward to the next installment.And NOW, for a personal rant. I probably should put this in parentheses because it doesn't have anything to do with the movie, but for this picture to be #1 on the IMDb list of all time best movies after 4 days of release is incomprehensible, if not downright laughable (and I did rate it a 10 myself). I think there should be a moratorium of at least a couple of years before a film qualifies for IMDb ranking, giving the dust some time to settle from all the grand opening hoopla that surrounds a picture like this. I feel the same way about other recent movies like ""No Country For Old Men"" and ""There Will Be Blood"", both of which garnered numerous awards and fan approval. But if they're to be considered among the best films of all time, they'll be considered that way a decade from now without the need for multiple votes from over zealous fan boys."
16 July 2008,LennyRenquist,926,1382,10,Best. Comic. Movie. EVER.,"I thought Batman Begins was a very well conceived and put together  movie. We finally get Batman as a fully rendered character. We gain new  insight into his motivations and the variables he must contend with in  his role as protector of Gotham. We get to see Gary Oldman as an  honest-to-goodness good guy. And we get to see Liam Neeson conducting  perhaps his strangest facial hair experiment yet.  But after seeing The Dark Knight, Batman Begins will forevermore be  viewed (by me at least) as a handy little prologue to a FRICKIN'  MASTERPIECE of a superhero film.  To say it's the deepest mainstream comic adaptation ever produced would  be akin to calling the Nolan/Ledger Joker 'a bit eccentric'.  While watching it, I found myself thinking it was very long, which is  usually a sign that it's TOO long, and therefore boring. But that's not  actually the case here. The script is bulging with ideas, philosophical  musings, THEMES, which Christopher Nolan is not content to gloss over  in favour of cool set-pieces (as many comic adaptations are), but wants  to explore, wants to allow the characters to explore, at a logical  pace. So, what I guess I'm saying is, considering what it sets out to  do, the movie is long ENOUGH, while still constantly holding the  viewer's interest.  And that's not to say the thematic exploration comes at the EXPENSE of  big action, either. On the contrary, there is some truly awesome stuff  going on here. The chase with the truck, for example, is fantastic, and  there's some great hand-to-hand stuff too.  But what engages us most is the characters, and, while the script is  brilliant (the dialogue is sharp, and quite funny for the first  two-thirds, before the drama really kicks in), this mainly comes down  to the cast.  Christian Bale. Taller than Michael Keaton was. More menacing than Val  Kilmer was. Less like Adam West than George Clooney was. Solid and  committed as always. He gives the character LIFE, and actually makes us  feel for him. The word 'tortured' keeps coming to mind...and I suppose  it's pretty appropriate.  Heath Ledger. Y'know, I'd heard talk of an Oscar nomination, and  thought it sounded a bit dubious. A Batman villain? Winning an Oscar?  Is that what it's come to? Then I thought, is it because he didn't get  one for Brokeback? Or more dubious still...is it because he...died?  But...well...how can I put it...?   It seems a bit blasphemous to compare Jack Nicholson to Cesar Romero,  but after seeing Heath at work...Jack (who once seemed so awesome) just  looks...well...lame.  If you've seen it, you hopefully get what I mean. If you haven't...you  need to. You will discover the true definition of commitment.  Maggie Gyllenhaal. I didn't have any problem with Katie in the first  one (at the time), but I doubt she could have pulled off the more  emotional stuff Rachel goes through here. Seeing recasting was  necessary (does Tom have a problem with his wife being involved with  Batman? Too many bad memories perhaps? Why am I even talking about such  garbage here?) they could have done a butt-load worse than Maggie. She  rocks.  As does Aaron Eckhart. But I'm not giving ANYTHING away. Suffice it to  say my mind was blown...AGAIN. Makes Tommy Lee Jones look like...you  get the idea.  Michael Caine. Still one of my favourite actors. Alfred is the shiz.  Morgan Freeman. Morgan Freeman. AOK.  Gary Oldman. As in BB, no mania. No psychosis. No nervous tics.  Absolute subtlety. Manages to hold his own alongside Christian, Heath  and Aaron without resorting to parlour tricks. Sign of spectacular  talent. Go Gaz.  Eric Roberts! William Fichtner! Michael Jai White! Tiny Lister!  The whole thing is just a big bag of thoughtful, well-executed  entertainment. It's equal parts cerebral and visceral. Ideas and  action.  I've liked every Batman movie so far (okay, besides Batman & Robin),  but this one makes them all look pretty bloody ordinary."
2 October 2017,AlsExGal,10,12,10,Perfect balance between action and drama with an unforgettable villain,"Although I don't think it is the fourth best movie ever made, as it is rated according to IMDb, I do think it stands head and shoulders above its super-hero peers, mainly because it is NOT a superhero movie. Batman is a mere mortal with lots of time to train himself physically and money to design the nifty gadgets he uses.Everybody on earth has seen this film, so no use regurgitating the plot. I think Heath Ledger's rendition of The Joker is a masterpiece. Every time he leaves the screen I keep waiting for him to come back. Ledger should have won the best actor Oscar rather than supporting actor, because this is really a two leading man film - Bale as Batman and Ledger as The Joker. I always liked Jack Nicholson's rendition of the Joker in the 1989 film directed by Tim Burton, but Ledger just blows Nicholson's performance away. Maybe it is because Nicholson's Joker had a past and an explanation for his behavior, maybe it is because, after all, Nicholson's Joker just seems to be the wild side of the real Jack Nicholson where Heath Ledger never steps out of character for the entire film. Ledger's Joker is like the devil decides to become incarnate, but unlike Ray Milland's devil in ""Alias Nick Beal"" shows his true self - somebody who wants to break the spirits of people, to turn them on one another, to wantonly destroy property, people, whatever. That's reinforced when the police can find no name, no past, no prints, no DNA, not even a label in his clothes when they arrest him. His past is a great big question mark. I like Michael Caine's Alfred - it's good to have someone with relevant past combat and guerrilla experience be a wise father figure to Wayne in this role rather than just a kindly museum piece. Likewise, Morgan Freeman is pitch perfect as Lucius and Wayne's version of Q - somebody who invents his gadgets and runs his business since this really is not where Wayne's mind is, Freeman gives the performance the perfect balance of humor, business acumen, and conscience. And finally I like the fact that Rachel, Bruce Wayne's love interest, is not played by someone who is some unrealistic 10.5/10. She's a cute girl, but her attributes lie in her mind and her heart as well.The negatives - I think Harvey's transformation into Two Face is a little too pat. I don't know why Batman has a totally different voice from Bruce Wayne. Is he doing that on purpose? And I think I found one editing error. Gordon in the end talks about how hard it will be to cover up Harvey/ Two Face's murders including ""two cops"". Harvey let crooked cop Ramirez live and just knocked her out. But if she had lived then Gordon and Batman's plan to cover up Harvey's crimes would never have worked because she would have known what happened. So which scene was wrongly included/scripted? I'd recommend it as one of the better films made since the turn of the century that was also a blockbuster."
16 July 2008,Mush_Man29,1211,1771,10,Certainly Dark - Worth The Wait,"I must say I was excited for this movie since the instant BATMAN BEGINS appeared on screen at the end of the first film. It was always going to be good, and sadly, it was always going to be over-hyped by the advertising warhorses.It is rare though, that a movie can surpass all the hype and pass all expectations on the film. Nolan (The Prestige, Begins) delivers on more than the Joker we remember from the 'Old Days' of Burton and Nicholson. Instead we're given a psychopathic sadist who pleasures from sheer anarchy.All the hailing of Ledger's performance are grounded. Watching it will make you feel a different chill down your spine than you'd remember from any other film. It's impossible, quite literally to relate to The Joker. He gets inside your head with his stories of how he got his scars, makes you laugh at his sick jokes, then makes you instantly wonder why you're laughing.If Ledger wasn't enough to horrify you - wait for Harvey Dent. Brilliantly portrayed by Aaron Eckhart as Gotham's 'fallen White Knight' and Batman's direct counterpart. His transformation will put Tommy Lee Jones' portrayal look like children's breakfast cartoons. Gyllenhaal had perfect chemistry with both Bale and Eckhart, Michael Caine and Morgan Freeman both work well as Batman's 'conscience' and of course, Gary Oldman as Lieutenant Gordon were all solid.There are some major differences between The Dark Knight and Begins. Firstly, the music is extremely disconcerted compared with the 'majestic but unfinished' tones of Begins - but it suits the film's tone: Anarchy in every sense. There was a more solid singular villain (compared with the many in Begins) - but there was also a lot more henchmen in TDK. The martial art direction was faster and more efficient - as mentioned in the film, learning through experience.I was disappointed at the role of Scarecrow in this film, it just felt like a loose thread and wasn't quite closed up or explained, and the ending, while it wasn't what I expected (others have said that it was predictable, but for me it wasn't) was solid and suited the film well.All in all, this is a film that is quite close, if it isn't already, a masterpiece. Nolan has a great thing going and unlike previous 'Superhero' adaptations (Spiderman and Fantastic Four for example), there isn't campiness creeping in. In face, if Batman Begins was 10/10, The Dark Knight deserves a 12. Quite simply, the best possible sequel that could've been given.If you watch this (which I implore that you do), you certainly won't regret it. One of the best movies of 2008 (I'll wait till Quantum of Solace comes out before I pass judgement) - but certainly a film worth getting excited for. If you don't like it, then that's also fine - but keep in mind that you probably thought Meet The Spartans was a good movie, so the rest of us won't take it to heart.Stunning in every aspect, and exceeds all hype and expectation... Can't wait to watch it again, or for the Blu-Ray!"
24 June 2021,pickle-92642,4,4,10,My favorite movie ever,"Before I say anything, I'm just gonna let everyone know that this is my favorite movie of all time. I don't care how much hate it gets by all the FiLm SuPeRiOrS, this is my best film.Now that we've got that out of the way, I just gotta say: WOW. This thing is insane. I first watched this back when I had no knowledge of film and only watched Marvel/Star Wars/Disney movies, and I can confidently say that this was one of the main films that sparked my interest in the aspect of filmmaking. This was also the second (after Batman Begins obv) Christopher Nolan movie that I watched, and he is now my favorite director. Ik he gets mad hate by (once again) FiLm SuPeRiOrS, but idgaf. I'm a 16 year old boy, ofc I'm gonna like this dude.Heath Ledger's performance as the Joker may be my favorite acting performance ever. The only two performances I can pick out that could possibly be better than it is Bryan Cranston and Aaron Paul as Walter White and Jesse Pinkman. He gets it perfectly, I definitely like it more than Joaquin Phoenix's performance. Everything abt it, his charisma, his voice, his subtle facial expressions and movements (like the lick of the lips) is perfect. His motives are perfectly explained and very realistic in my opinion, it's gotta one of if not my favorite characters in any piece of fiction ever.This movie is absolutely jam-packed with the best action scenes ever put on film. The truck flip/hit me scene is one of the coolest things I've ever seen. Batman in this movie is also the single best adaptation of Batman ever put on film. He's got the best suit, the best actor, the best Bruce Wayne, the best everything. Even Michael Caines Alfred is amazing. They got absolutely everything right. This movie gave me a new love for Batman that I never knew I had (since I was a massive marvel fan).This movie constantly gave me chills. It made me feel so many emotions: suspense, shock, happiness, sadness, and much more. There are some amazing suspense movies that I've seen that have not nearly given off as much suspense as that boat explosion scene at the end. Speaking of the end, this is one of the best movie endings I've ever seen. The Joker actually won in the end, he corrupted Batman and made the city lose lots of hope by having Harvey Dent killed. On a side note, Aaron Eckhart's performance was also phenomenal.And that beginning. This is my favorite movie opening ever. It definitely isn't my favorite movie ending ever, but I can 100% say this is my favorite opening. The heist, the joker reveal, the vibe, everything is perfectly executed.I could go on and on abt how every scene on this movie either amazed me or made its way onto my top scenes ever list, but the review would be too long. This movie deserves all the hype it gets, the people that don't like it are usually just trying to be ""different"" (or its just not their thing idfk). When I'm watching films similar to this, I always find myself comparing it to this film. No movie will ever capture the PERFECT vibe this one captures. I don't know what it is, it's just so insanely classic rich late 2000s movie night. Idk how else to explain it, but you know what I mean. Anyways yeah, this is my favorite movie ever, and I don't see anything overtaking it anytime soon (or ever)."
